127.0.0.1 -- Wed Oct 31 2018 17:22:40 GMT+0800 (China Standard Time) -- POST -- /addUser?= -- 22ms
	127.0.0.1 -- Wed Oct 31 2018 17:23:15 GMT+0800 (China Standard Time) -- POST -- /addUser?= -- 5ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:15:47 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:22ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:18:49 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:72ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:20:27 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:62ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:21:38 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:54ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:23:25 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:60ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:23:28 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:19ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:24:16 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:51ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:25:46 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:49ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:27:15 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:57ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:27:17 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:8ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:30:02 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:53ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:30:14 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:39ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 15:31:04 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user -- resTime:0ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:31:16 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:44ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:34:17 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:43ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:34:29 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:38ms
